symbol,display_symbol,canonical_symbol,meaning,meaning_len,alt_meaning_count,source_row_count
ADAK,Adak,adak,"Kişinin rüyada bir şey adadığını görmesi, hayırlı bir işe önder olacağına işarettir. Nezrettiğini yerine getirdiğini görmek, yeni bir iş tutmaya; adak satın almak da, muradına ermeye delâlet eder.",196,1,2
ADALE,Adale,adale,"Rüyada adale görmek, vücut bakımından zayıflığa işarettir ve sıhhatin bozulacağına delâlet eder.",96,1,2
ADAM,Adam,adam,"Rüyada herhangi bir adamı görmek, yeni bir arkadaş edinmeye işarettir.",70,1,2
ADAM ÖLDÜRMEK,Adam Öldürmek,adam öldürmek,"Rüyada bir adamı öldürdüğünü görmek, günah ve hataya delâlet eder. Rüyada kendi nefsini öldürdü ğünü görmek ise, hayra işarettir. Rüyada bir başkası tarafından öldürüldüğünü görmek, rüya sahibinin ömrünün uzun olmasına ve çok çok hayra nailiyetine delâlet eder. Yine rüyada bir kimseyi öldürdüğünü görmek: ""Sen bir de adam öldürmüştün de biz seni o kandan kurtarmıştık."" (Tâhâ, 40) mealindeki âyet gereğince, korku, şiddet ve kederden kurtulmaya delâlet eder. Rüyada kasden ve haksız olarak bir adamı öldürdüğünü görmek, rüya sahibinin günahkâr olduğuna delâlet eder. Rüyada, kendisinin boğazlandığını görmek, zulme uğramaya işarettir. Rüyada kesmeksizin bir adamı öldürdüğünü görmek, öldürülene isabet edecek hayır ve mala delâlet eder. Rüyada bir kişiyi öldürdüğünü ikrar ettiğini görmek, rüya sahibine erişecek bir rütbeye işarettir. Zira Musa (a.s.): ""- Rabbim, hakikat ben onlardan bir cana (kıydım), öldürdüm. Onun için beni katledeceklerinden korkarım."" (Kasas, 35) mealindeki âyete binaen, Hazret-i Musa bu hali ikrar ettikten sonra rütbeye kavuşmuştur. Denilmiştir ki: Rüyada kendi çocuğunu öldürdüğünü gören kişi, hiç ummadığı yerden rızka erişir. Bir kimsenin rüyada savaş meydanında olduğunu ve cenk ederken öldürüldüğünü görmesi, kazanç, ticaretine ve sözünün yerine getirilmesine alâmettir.",1304,1,2
ADAVET (Düşmanlık),ADAVET (Düşmanlık),adavet,"Rüyada düşmanlık hâli görmek, dostluğa, arkadaşlığa işarettir. Bazı kere de tam tersi, kine, zulme, eziyete delâlet eder.",121,1,2
ADAY,Aday,aday,"Kişinin kendisini rüyada herhangi bir iş için aday mevkiinde görmesi, eğer hakikaten böyle bir işde aday ise, kazanacağına delâlet eder. Eğer aday değilse, hayatta muvaffakiyete işarettir..",189,1,2
ADI BATMAK (İsmi silinmek),ADI BATMAK (İsmi silinmek),adi batmak,"Rüyada adının gittiğini, isminin silindiğini görmek, itibar ve rağbete delâlet eder. Bazı kere de rızkın kesilmesine ve ecele işarettir.",136,1,2
ADIM,Adim,adim,"Rüyada bir yeri adımladığını görmek, iş hayatında mühim meselelerle karşılaşmaya delâlet eder..",95,1,2
ADIYAT,Adiyat,adiyat,"Bir kimsenin rüyada Sûre-i Adiyat'ı veya ondan bir âyeti okuduğunu veya üzerine okunduğunu görmesi, Allahu Telâlâ'yı çok zikretmeye, uzun ve bereketli ömre, hayır ve iyilik yapmaya, sahabileri ve Resûl-i Ekrem'i sevmeye ve onlara karşı muhabbete delâlet eder.",259,1,2
ADLİYE,Adli̇ye,adli̇ye,"Rüyada adliye görmek hayıra yorumlanmaz. Kendini adliye binasında görmek, bazı işlerin halli için bir ihtardır.",111,1,2
ADRES,Adres,adres,"Rüyada birinden adres aldığını veya birine adres verdiğini görmek, dost ve ahbapları ziyaret hususunda ihmale delâlet eder..",124,1,2
ADİ İSKEMLE,Adi̇ İskemle,adi̇ i̇skemle,"Rüyada üzerine oturulan âdi iskemle görmek, kadına işarettir. Eğer iskemlenin üzeri güzel bir şeyle örtülü ise, hayırlı ve uğurlu kadına delâlet eder.. İskemle üstünde iskemle görmek, yüksek mevkilere delâlet eder..",215,1,2
AFET,Afet,afet,"Rüyada tabiî âfetlere maruz kaldığını görmek, dinî vecibeleri terke ve günaha düşmeye delâlet eder. Bu rüya kişiye bir ihtar da olabilir. Bundan sonra kendisine dikkat etmesi gerekir..",184,1,2
AFFEDİLMEK,Affedi̇lmek,affedi̇lmek,"Bir kimse rüyada affedildiğini görse, bu felah ve saadete işarettir. Yine affa uğramak, Cenâb-ı Hakk'ın mağfiretini, rızasını kazanacak bir amele delâlet eder.",159,1,2
AFFETMEK,Affetmek,affetmek,"Rüyada kendisine karşı kusurlu birinin yaptığı hatayı affettiğini görmek, yüce Allah'ın mağfiretine nail olacak bir amele delâlet eder. Rüyada kendi kusurunun affedildiğini görmek, uzun ömre, şan ve şöhrete ve himayeye mazhar olmaya işarettir. Rüyada Allahu Teâlâ ve O'nun Resulü tarafından bağışlandığını görmek, güzel bir akibete delâlet eder. Yine bu rüya, o kişinin tevbe ederek hidayete erişeceğine işarettir. Rüyada üzerine had vurulması veya kısas yapılması gereken birini affettiğini görmek, günahlarının Allahu Teâlâ tarafından bağışlanacağına delâlet eder. Suçluyu cezalandırmaya gücü yettiği halde ve buna da hakkı varken, onu affettiğini görmek, günahlarının Allahu Teâlâ tarafından bağışlanacağına delâlet eder. Suçluyu cezalandırmaya gücü yettiği halde ve buna da hakkı varken, onu affettiğini görmek, rüya sahibinin Cenâb-ı Hak'tan korktuğuna ve haşyet üzere bulunduğuna delâlet eder. Cezaya müstehak olan günahkâr bir kişinin rüyada Rabbi Teâlâ tarafından isyan ve hatalarının bağışlandığını görmesi: ""(Habîbim), O küfredenlere söyle ki: Eğer düşmanlıktan vazgeçerlerse, geçmişteki günahları bağışlanır."" (Enfal, 38) mealindeki âyet gereğince, o zatın doğru birisi olduğuna delâlet eder.",1203,1,2
AFSUN (Dua),AFSUN (Dua),afsun,"Bir kimsenin rüyada Kur'ân'dan bazı âyetlerle hasta üzerine okuduğunu görmesi, şiddetli ağrıdan ve hastalıklardan kurtulmaya, üzüntü ve kederden halâs olmaya delâlet eder. Sünnetin ve Kur'ân-ı Kerim'in haricinde bir şey okumak ise, yalancılığa ve riyaya işarettir. Bu rüyayı gören âlim biri ise halktan öğüt ve nasihati gizlemekle tâbir olunur. Rüyada üzerine Kur'ân âyeti okunmuş bir suyu içtiğini veya bir kadeh içindeki okunmuş suyu başkasına içirdiğini görmek, uzun ömürlü olmaya delâlet eder. Yine bir kimse afsun ettiğini veya kendisine afsun ettirdiğini görse, bu rüya bâtıl şeylere işarettir. Yapılan şey ""Besmele"", yahut Kur'ân-ı Kerim'den herhangi bir âyet ile başlıyorsa iyiye alâmettir..",699,1,2
AFSUNCU,Afsuncu,afsuncu,"Rüyada afsun (dua) okuyan birini görmek, eğer o okuduğu afsunda Cenâb-ı Hakk'ı zikrederse, insanlar arasını bulan, üzüntü ve kederden halkı teselli eden, kalblerdeki kini gideren kimseye delâlet eder.",200,1,2
AFYON YUTMAK,Afyon Yutmak,afyon yutmak,"Rüyada afyon yuttuğunu görmek, unutkanlığa delâlettir ve insanın başına büyük işler geleceğinin habercisidir.",109,1,2
AHIR,Ahir,ahir,"Rüyada ahır görmek, geçici şan ve şöhret ile tâbir olunur. Ahırda yumurta görmek, başkaları tarafından iyi kabul göreceğine delâlet eder.",137,1,2
AHIRET,Ahiret,ahiret,"Rüyada kendisini ahirette görmek, uzun bir ömre delâlet eder.",61,1,2
AHKAF,Ahkaf,ahkaf,"Bu mübarek sûreyi rüyada okuduğunu veya okunduğunu görmek, ana babaya ihsan etmeye, tevbe ve istiğfara delâlet eder. Yine o kimsenin ölümü anında ölüm meleği ona güzel surette gelir ve merhametli davranır.",205,1,2
AHMAKLIK,Ahmaklik,ahmaklik,"Kişinin rüyada ahmaklıkla isimlenmesi, rızka delâlet eder.",58,1,2
AHRAZ (Dilsiz),AHRAZ (Dilsiz),ahraz,"Bu rüya zem ve gıybete, kötü ve çirkin sözlere delâlet eder.",60,1,2
AHZAB,Ahzab,ahzab,"Rüyada Sûre-i Ahzab'ı tamamen veya kısmen okuduğunu yahut kendi üzerine okunduğunu görmek veya bir başkasından işitmek, Takva sahibi olmaya, kabir azabından kurtulmaya, batıldan uzak durmaya ve salihleri, alimleri sevmeye delâlet eder. Ibn-i Sîrîn hazretleri demiştir ki: O kimse emanet ehli olur. Ve birinin zayi ettiği şeyi bulup sahibine teslim eder. Yine o kimseye Peygamberlerden birini rüyada görmek nimeti bahşedilir, bilmediği ve beklemediği yerden rızkı gelir ve zafere ulaşır...",488,1,2
AHİD,Ahi̇d,ahi̇d,"Rüyada ahid yerinde ahid yaptığını görmek, geçmiş hataları hatırlamaya, üzüntü ve kedere delâlet eder. Bazı kere de ahid yerleri, ne ile ahid yapılmışsa ona delâlet eder. Yine rüyada görülen ahid yerleri uyanıkken yapılacak vaadlere işarettir.",243,1,2
AKASYA,Akasya,akasya,"Rüyada Akasya görmek, iyi habere alâmettir. Akasya ağacının altında oturduğunu görmek, emellerine kavuşmaya delâlet eder. Akasya ağacından bir dal kopardığını görmek, bir iş için bir başka yere başvurmağa işarettir.",215,1,2
AKBABA,Akbaba,akbaba,"Kirmani demiştir ki: Rüyada kendisine bir Akbaba kuşu verildiğini görmek, din selâmetine ve hayra delâlet eder. Rüyada Akbabaları otlattığını görmek, bazı kimseler üzerine âmir olmakla tâbir olunur. Rüyada Akbaba kuşunun sadâsını işitmek, gam ve kederden kurtuluşa delâlet eder. Nablusî demiştir ki: - Gece rüyada Akbaba kuşunu görmek, ahmak ve nezaketsiz bir adama delâlet eder. Bu rüya gündüz görüldüğünde hastalıklara işarettir. Rüyada Akbaba kuşunu tuttuğunu görmek, harpte bulunmaya veya hastalığa işarettir. Akbabaları otlattığını görmek, fakir kimselerin başına âmir olmakla tâbir olunur. Bir dişi Akbaba aldığını görmek ise, fakir bir kadınla evlenmeye delâlet eder. Hasta bir kimsenin rüyada Akbaba kuşu görmesi, ecelinin yaklaştığına işarettir..",755,1,2
AKCİĞER,Akci̇ğer,akci̇ğer,"İmam Nablusî demiştir ki: Rüyada görülen akciğer, ruhun mahallidir. Bu sebeple bir kimse rüyada kendi akciğerinin kötü koktuğunu görse, artık o kimsenin ömrü tamam olmuştur. Yani ömrünün bittiğine delâlet eder.. Bazı kere de akciğer görmek, sevinç ve meserrete işarettir. Bazıları da akciğeri gazap ve kadın ile tâbir etmişlerdir. Cabirü'l-Mağribî demiştir ki: “- Rüyada akciğer yediğini görmek, eğer yediği ciğer pişmiş ve eti yenilir bir hayvana aitse sevince, eline geçecek güzel bir mala delâlet eder."" Yine rüyada görülen akciğerin sağlamlığı, uzun ömre, onun sakatlığı da kısa ömre işarettir. Ayrıca akciğer, gazap mahallidir de.. Akciğer kadın ile de tâbir olunur. Ibn-i Sîrîn Hazretleri demiştir ki: ""- Rüyasında kendisine akciğer verildiğini görmek, eğer vereni tanıyorsa, ondan sevineceği bir haber almaya ve menfaata delâlet eder. Eğer tanımıyorsa, bilmediği birinden kendisine sevineceği bir iyilik ile tâbir olunur.""",929,1,2
AKIL HASTANESİ,Akil Hastanesi̇,akil hastanesi̇,"Kişinin rüyada akıl hastanesi görmesi, hamama alâmettir. Çünkü hamamlar cin ve şeytanların avret mahallinin açıldığı ve çirkin işlerin meydana geldiği yerlerdir. Bazı kere de akıl hastanesi görmek, okula delâlet eder. Çünkü okullar çocukların toplandığı mahallerdir. Yine akıl hastanesi görmek, oyun yerlerine, karmakarışık seslere, bâtıl ve mânâsız sözlere, malın elden gitmesine delâlet eder.. Fakir bir kimsenin rüyada akıl hastanesi görmesi, erişeceği nimete, rahatlığa ve insanlardan bir şey istememesine delâlet eder..",524,1,2
AKILLI,Akilli,akilli,"Rüyada akıllı biri ile karşılaştığını görmek, rüya sahibinin başkaları tarafından kandırılamayacağma işarettir. Rüyada akıllı hareketlerde bulunduğunu görmek, mesut ve bahtiyar olmaya delâlet eder. Rüyada aklı insan şekline bürünüp ""Ben senin aklınım"" dediğini görmek, hayır ve menfaata delâlet eder. Kirmanî demiştir ki: ""- Aklı insan şeklinde temessül etmiş görmek, izz ü şerefe, mertebe ve makama delâlet eder."" Cafer-i Sâdık hazretleri şöyle tâbir buyurmuşlardır: - Akıl ve ruh dört veçhile tâbir olunur: a) Devlet, b) Baht, c) Ana, baba, d) Mal ve şeref..",560,1,2
AKILSIZLIK,Akilsizlik,akilsizlik,"Rüyada akılsızca hareket ettiğini görmek, cehalete işarettir. Çünkü cahiller ne yapacağını bilmezler. Rüyada halkı akılsız ve hafif hareket eder görmek, dinî noksanlığa delâlet eder.",182,1,2
AKINCI,Akinci,akinci,"Rüyada akıncı ecdadımızdan birini görmek, mertlik, cesaret ve cihad ile tâbir olunur.",85,1,2
AKREP,Akrep,akrep,"Rüyada akrep görmek kötü düşmanla tâbir olunur. Ayrıca akrep görmek, o kimsenin eli ve diliyle insanları rahatsız ettiğine delâlet eder. Rüyada ağzından akrep çıktığını veya akrebin elbisesi içine girdiğini görmek, düşmanlarla beraber oturmaya işarettir. İç elbisesinde akrep olduğunu gören, zevcesinin düşmanlığını kazanır. Rüyada akrep soktuğunu görmek, ele geçecek ve devamı olmayacak mala delâlet eder.. Yine rüyada kavurulmuş akrep yediğini görmek, düşman malından yemeye, pişmemiş akrep yediğini görmek de düşmanlarını kaybetmeye delâlet eder. Akrebi yatağı üzerinde görmek, düşman, geçim ve kazanç hususunda keder ve üzüntüdür. Karnında akreplerin olduğunu görmek de düşmanlar ile tâbir olunur.",701,1,2
AKSAKLIK,Aksaklik,aksaklik,"Rüyada aksaklık görmek, yapmak istediği işten acizliğe delâlet eder. Aksaklık görmek, yolculuk ile de tâbir olunur. Rüyada sağ ayağının ağrıdığını veya kırıldığını görmek, rüya sahibinin oğlunun hastalanacağına delâlet eder. Kızı olan kimsenin aynı rüyayı sol ayağında görmesi, kızına talip çıkacağına ve onun da vermek istemesine delâlet eder. Rüyada, ayaklarının birisinin diğerinden uzun olduğunu görmek, uzak bir yolculuk ile tâbir olunur. Bazı kere de aksaklık, ömrün uzunluğuna, din ve ilmin çokluğuna delâlet eder. Rüyada bir ayağını diğer ayağı üzerine koyup tek ayağıyla yürüdüğünü görmek, malının yarısını gizlemeye, diğer yarısı ile de iş yapmaya delâlet eder.",671,1,2
AKSAMAK,Aksamak,aksamak,"Rüyada aksamak veya aksak gibi görünmek, hileye, şerre, Allah'ın nimetlerini tahkir etmeye ve gizlemeye delâlet eder. Yine rüyada kendisini felçli olmuş görmek, küfre ve münkerliğe alâmettir.",191,1,2
AKSIRMAK,Aksirmak,aksirmak,"Rüyada aksırmak, şüphe edilen şeyin açığa çıkmasına delâlet eder. Hasta bir adamın rüyada aksırdığmı görmesi, ecelinin geldiğine ve ölümün yakın olduğuna işarettir. Bazılarına göre de rüyada aksırmak, hastalıktan şifa ve afiyete, uzun ömre ve hayra delâlet eder. Rüyada aksırdığını görmek, Allahu Teâlâ'ya çok hamd etmeye, rahmet-i ilâhiyenin rüya sahibinin üzerine inmesine delâlet eder. Peşpeşe aksırdığını görmek, sıhhat ve afiyetin devamına işarettir. Yine rüyada aksırmak, sıkıntıdan kurtulmaya, fakir ise, kendisine gelecek bir yardıma delâlet eder. Çünkü aksıran kimseye ""Yerhamükellah"" şeklinde hayır dua etmek dinî vecibelerdendir..",641,1,2
AKTÖR,Aktör,aktör,"Rüyada rol yapan bir aktör görmek, iş yaptığınız kimseler içinde sizi aldatanlar olduğuna delâlet eder. Yine bir aktörle konuşup dost olduğunu görmek, hile ile sizden bir şeyler temin etmeye çalışan biri ile ahbap olacağınıza işarettir.",236,1,2
AKİK TAŞI,Aki̇k Taşi,aki̇k taşi,"Kişinin rüyada akik görmesi, fakirliğin gitmesine, hayatın selâmetine delâlet eder. Rüyada yanında akikten bir şey bulunduğunu görmek, fakirlikten halâs olmaya işarettir. Zira hadis-i şerifte ""Akik fakirliği giderir"" buyurulmuştur.. Rüyada akikten yüzük taktığını görmek, bereketli nimete nai-iyete delâlet eder.. Rüyada mâlik olduğu akiki zayi ettiğini görmek, iyi dostlardan mahrumiyete delâlet eder. Câbir'ül-Mağribî demiştir ki: - Rüyada akik bir kaptan içtiğini görmek, salih ve şerefli evlâda ve bu çocuğun zengin olacağına delâlet eder.. Rüyada akik yüzük takmak: Salâha, takva ve dine işarettir.",603,1,2
AKİKA KURBANI,Aki̇ka Kurbani,aki̇ka kurbani,"(Yeni doğan bir bebeğin başındaki ana tüyüne ""Akika"" denir. Böyle bir çocuğun doğumuna şükrane olarak kesilen kurbana da ""Akika"" ismi verilmiştir). Bir kimsenin rüyada akika kurbanı görmesi, saadete kuvvetlenmesine ve sünnet üzere yaşadığına delâlet eder. vesiledir. İnsanın Rüyada akika kurbanı kestiğini görmek, kayıp veya uzaktaki bir kişinin gelmesine, yahut bir hastanın şifa bulmasına veya mahkûm olan birinin ceza evinden kurtulmasına delâlet eder.",455,1,2
AKŞAM,Akşam,akşam,"Rüyada akşam olduğunu ve cihanı karanlıkların istilâ ettiğini görmek, sabah görmenin aksi ve zıddı ile tâbir edilir.",116,1,2
AL-I IMRAN,Al-I Imran,al-i imran,"Rüyada Al-i Imran Sûresi'ni veya ondan bir ayeti okuduğunu, yahut kendi üzerine okunduğunu görmek, insanlar arasında muteber olmaya, her türlü fenalıktan korunmaya ve ihtiyarlık anında bir evlada kavuşmaya delâlet eder. Câfer-i Sâdık hazretleri demiştir ki: Rüyada Al-i İmran Sûresi'ni okumak veya okunduğunu görmek, insanlar arasında makbul ve aziz tutulmaya, dünya ve ahirette hayır ve nimete mazhar olmaya delâlet eder.",422,1,2
ALA,Ala,ala,"Bir kimsenin rüyada bu mübarek sûreyi veya ondan bir parçayı okuduğunu veya kendi üzerine okunduğunu görmesi, çok tesbih etmeye, işlerin yolunda ve kolay olmasına, ahireti dünyaya tercih etmeye, ümmetin salihleri arasına karışmaya delâlet eder. Cafer-i Sâdık' tan. O şöyle tâbir buyurmuştur: a) Güç işler Allah'ın lütfü ile kolay olur, b) Dindar ve ahireti dünyaya tercih edici olur, c) Lisanı hep Rabbihi zikreder, d) Sık sık rüya görür ve gördüklerini unutur.",461,1,2
ALACA KARGA,Alaca Karga,alaca karga,"Alaca karga görmek, kibirli, cimri, sözünde durmayan ve çok yalancı birine işarettir. Rüyada karga avladığını görmek, fakirlik ve darlık ile tâbir edilir. Karganın ekin ve ağaç üzerinde görülmesi de, iyiye alâmet değildir. Cabirü'l-Mağribî demiştir ki: - Rüyada bir karganın kendisiyle konuştuğunu görmek, bir yabancıdan menfaate ve iyi bir habere işarettir. Rüyada karga etinden yediğini görmek, hırsızlar eliyle kendisine gelecek mala işarettir. Rüyada karganın kendisini tırmaladığını görmek, şiddetli soğuk ile helak olmaya delâlet eder. Nablûsî (rh.a.) demiştir ki: - Rüyada bir kargayı Kabe üzerine düşmüş görmek, fasık kimsenin, saliha ve temiz bir kadınla evleneceğine delâlet eder. Rüyada alaca karganın doğurduğunu görmek, göz aydınlığına ve sevince delâlet eder. Rüyada, kargaya mâlik olmak ise, fasık bir çocuğa işarettir. Bazı kere de karga görmek, geçime düşkünlüğe ve bu hususta gayrete delâlet eder. Yine alaca karga görmek, taaccüp edilecek bir şey görmeye işarettir. Çok çok kargalar görmek, çok konuşan bir takım adamlara delâlet eder. Rüyada bir karganın yeri eştiğini görmek, pişman olacak bir işi yapmaya işarettir.",1137,1,2
ALACA KUMAŞ,Alaca Kumaş,alaca kumaş,"Bir kimsenin rüyada alaca kumaş görmesi, dünya ve dünya zinetine karşı meyletmeğe işarettir.",92,1,2
ALACA İLLETİ,Alaca İlleti̇,alaca i̇lleti̇,"Rüyada alaca illetine mübtelâ olduğunu görmek, bütün insanlar tarafından hürmet ve ikrama nail olmaya delâlet eder. Beras illetine iptilâ olduğunu görmek, sevmediği bir kimse ile arkadaşlığa işarettir. Rüyada kendisinin baştan başa alaca olduğunu görmek, gelecek hastalık ile tâbir olunur.",289,1,2
ALAK,Alak,alak,"Rüyada Alâk Sûresi'nin tamamını veya ondan bir âyeti okuduğunu yahut kendi üzerine okunduğunu görmek, Kur'ân-ı Kerim öğrenmeye ve tefsir ilmine, yazı yazmaya ve mütevazi olmaya delâlet eder. ibn-i Sîrîn: O kimse ilim ve Kur'an ile rızıklanır, demiştir. Nablusî de demiştir ki: Bu sûre-i şerifeyi okuyan kişi bir erkek evlada nail ve ümmetin salihlerinden olur..",361,1,2
ALAMET,Alamet,alamet,"Rüyada her çeşit alâmet görmek, memuriyete, makam ve rütbeye, zor işlerde kolaylığa ve düşmana karşı zafere delâlet eder. Câbirü'l-Mağribî demiştir ki: Rüyada iyi alâmet görmek, ikbal ve ahiret saadetine işarettir.",214,1,2
ALAN (Meydan),ALAN (Meydan),alan,"Rüyada boş bir alan görmek, kedersiz ve sıkıntısız bir kimse olduğunuza alâmettir. Uçak alanında uçak beklediğinizi görmek, uzaktan bir haber almaya veya gelecek bir yolcuya delâlet eder.",187,1,2
ALAY,Alay,alay,"Bir kimsenin kendisini asker olarak bir alayda eğitim yapıyor görmesi veya subay rütbesiyle görmesi, hükümet adamlarında iyilik ve himaye göreceğine delâlet eder. Rüyada bir askeri birlikte ve en önde bayrak taşıdığını görmek, memlekette şan ve şöhret sahibi olarak tanınmaya işarettir.",286,1,2
ALAY EDİLMEK,Alay Edi̇lmek,alay edi̇lmek,"Bir kimse rüyada kendisiyle alay edildiğini görse, bu rüya aldanmaya işarettir. Yine rüyada alay edilmek, yapılan muamelede aldanmak olarak tâbir olunur.",153,1,2
ALBÜM,Albüm,albüm,"Kişinin rüyada albüm görmesi, geçmiş hatıralara delâlet eder. Ve yine albüm görmek, çok özlediğiniz bir kimseye kavuşacağınıza işarettir.",137,1,2
ALDANMAK,Aldanmak,aldanmak,"Rüyada bir kimsenin kendisini aldattığını görmek, Allahu Teâlâ'nın yardımının erişeceğine delâlet eder.",103,1,2
ALDATMAK,Aldatmak,aldatmak,"Rüyada birini aldattığını görmek, iyiye alâmet değildir. Çünkü hadis-i şerifte ""Kim ki bizi aldatırsa bizden değildir"" buyurulmuştur. Bu rüyayı gören çok dikkatli olmalı ve kimseye gadretmemelidir.",197,1,2
ALEM,Alem,alem,"Rüyada âlem görmek, sulh, sükûn ve refaha delâlet eder. Aleminyum eşya görmek ise, aile hayatının saadetine işarettir.",118,1,2
ALET,Alet,alet,"Rüyada ziraat âleti görmek, gelecek senenin selâmet içinde geçeceğine delâlet eder..",84,1,2
ALEV,Alev,alev,"Rüyada alev görmek, bazı kere sıhhat ve afiyete, bazı kere de Cenâb-ı Hak tarafından ikaz edilmeğe işarettir.",109,1,2
